step,exp,game_name,algorithm_name,log_exp
0,2.373611111111111,leduc_poker,DDCFR,0.8644124711054898
20,0.12852341849734944,leduc_poker,DDCFR,-2.0516441461359265
40,0.06061599558252838,leduc_poker,DDCFR,-2.803196467229397
60,0.01776416059940507,leduc_poker,DDCFR,-4.030572300870053
80,0.010629492299596296,leduc_poker,DDCFR,-4.544122848860478
100,0.0065214489206256165,leduc_poker,DDCFR,-5.032658700642539
120,0.005228330166595074,leduc_poker,DDCFR,-5.253663331695693
140,0.0043755606318397755,leduc_poker,DDCFR,-5.431720622961834
160,0.0029225308223522345,leduc_poker,DDCFR,-5.835305318103183
180,0.0029246197879934793,leduc_poker,DDCFR,-5.834590793758137
200,0.001969985596246046,leduc_poker,DDCFR,-6.2297290478092
220,0.0022307393865425434,leduc_poker,DDCFR,-6.105422184993138
240,0.0014753145817480579,leduc_poker,DDCFR,-6.518884036169
260,0.0015656470090865543,leduc_poker,DDCFR,-6.459456116089858
280,0.0012557766751588595,leduc_poker,DDCFR,-6.680001033147745
300,0.0013125379279522037,leduc_poker,DDCFR,-6.635792666428626
320,0.0011688099326698786,leduc_poker,DDCFR,-6.751769199386379
340,0.0007288279857850521,leduc_poker,DDCFR,-7.2240728129409435
360,0.0009505838192869487,leduc_poker,DDCFR,-6.958434215508291
380,0.0008198136858899308,leduc_poker,DDCFR,-7.10643345585196
400,0.0007848671591757367,leduc_poker,DDCFR,-7.149996078481812
420,0.0007650251156716553,leduc_poker,DDCFR,-7.1756018937333215
440,0.0008045009444359597,leduc_poker,DDCFR,-7.125288417590997
460,0.0006118319029967539,leduc_poker,DDCFR,-7.399052981486154
480,0.0005291901878714533,leduc_poker,DDCFR,-7.5441626673325315
500,0.0005499864927620002,leduc_poker,DDCFR,-7.50561683865387
520,0.0005796820855843987,leduc_poker,DDCFR,-7.453030733003804
540,0.0004848760501348637,leduc_poker,DDCFR,-7.631617266421773
560,0.00040929206569718934,leduc_poker,DDCFR,-7.801081559708319
580,0.0004152425304588814,leduc_poker,DDCFR,-7.786647797690739
600,0.00039326743864004365,leduc_poker,DDCFR,-7.841020672088448
620,0.00034584717528546305,leduc_poker,DDCFR,-7.9695135704066855
640,0.0003107980185947101,leduc_poker,DDCFR,-8.076367314669
660,0.00028395920503899996,leduc_poker,DDCFR,-8.166679974349762
680,0.0003004818743201354,leduc_poker,DDCFR,-8.110123124210451
700,0.0002519764682463732,leduc_poker,DDCFR,-8.286174854787742
720,0.00026307213171995747,leduc_poker,DDCFR,-8.24308229829541
740,0.0002489118106698829,leduc_poker,DDCFR,-8.29841189825053
760,0.00024559758441682067,leduc_poker,DDCFR,-8.311816197176052
780,0.0002638134097230488,leduc_poker,DDCFR,-8.240268486057737
800,0.0002720501242747253,leduc_poker,DDCFR,-8.209524228224044
820,0.00024101041111157517,leduc_poker,DDCFR,-8.330670425773604
840,0.00020080484508819274,leduc_poker,DDCFR,-8.513177041512535
860,0.00019764887381945595,leduc_poker,DDCFR,-8.5290184660903
880,0.00016680558754662844,leduc_poker,DDCFR,-8.698681570119703
900,0.00018127667581591123,leduc_poker,DDCFR,-8.615486098143577
920,0.00017504850573538122,leduc_poker,DDCFR,-8.650447446816079
940,0.00015507981659361458,leduc_poker,DDCFR,-8.771570627818845
960,0.00017265595501693431,leduc_poker,DDCFR,-8.66420964287871
980,0.00018331300308857545,leduc_poker,DDCFR,-8.604315466799001
1000,0.00015093169418209373,leduc_poker,DDCFR,-8.798683179903351
1020,0.00021811086984256656,leduc_poker,DDCFR,-8.43050704719729
1040,0.00014601374350399488,leduc_poker,DDCFR,-8.831809807097219
1060,0.0001364324869820993,leduc_poker,DDCFR,-8.899680666558355
1080,0.00010887027606579225,leduc_poker,DDCFR,-9.125353512336437
1100,0.00010946648925874713,leduc_poker,DDCFR,-9.119892089712424
